Bank Code,Party being financed,Source of data entry / upload,Invoice #_Raw,Supplier Name,Buyer Name,Invoice Date,Submission Date_Cleansed,Invoice Amount,Currency_Cleansed,UTC Status,Risk Score
,,,1940,company_0,buyer,,,0,,,
,,,8023,company_0,buyer,,,0,,,
,,,1324,company_0,buyer,,,0,,,
,,,6977,company_0,buyer,,,0,,,
,,,9758,company_0,buyer,,,0,,,
,,,9589,company_0,buyer,,,0,,,
,,,4997,company_0,buyer,,,0,,,
,,,7657,company_0,buyer,,,0,,,
,,,3773,company_0,buyer,,,0,,,
,,,2898,company_0,buyer,,,0,,,
,,,ODPAPC/65-70/X,company_1,buyer,,,0,,,
,,,TVVCAW/40-57/F,company_1,buyer,,,0,,,
,,,DPMMVT/00-91/E,company_1,buyer,,,0,,,
,,,RXBAPU/20-83/D,company_1,buyer,,,0,,,
,,,UVSMCQ/39-76/J,company_1,buyer,,,0,,,
,,,FKOQZP/75-01/E,company_1,buyer,,,0,,,
,,,GDDQJL/55-09/C,company_1,buyer,,,0,,,
,,,XMBAYD/72-36/E,company_1,buyer,,,0,,,
,,,WKIJWN/92-01/J,company_1,buyer,,,0,,,
,,,ZJBIZB/29-84/A,company_1,buyer,,,0,,,
,,,44440954,company_2,buyer,,,0,,,
,,,44447590,company_2,buyer,,,0,,,
,,,44441669,company_2,buyer,,,0,,,
,,,44441744,company_2,buyer,,,0,,,
,,,44447047,company_2,buyer,,,0,,,
,,,44447802,company_2,buyer,,,0,,,
,,,44447369,company_2,buyer,,,0,,,
,,,44442523,company_2,buyer,,,0,,,
,,,44445072,company_2,buyer,,,0,,,
,,,44449557,company_2,buyer,,,0,,,
,,,4346/67,company_3,buyer,,,0,,,
,,,5960/60,company_3,buyer,,,0,,,
,,,8103/00,company_3,buyer,,,0,,,
,,,4266/68,company_3,buyer,,,0,,,
,,,3678/94,company_3,buyer,,,0,,,
,,,2427/13,company_3,buyer,,,0,,,
,,,0144/37,company_3,buyer,,,0,,,
,,,4875/37,company_3,buyer,,,0,,,
,,,3467/86,company_3,buyer,,,0,,,
,,,1529/52,company_3,buyer,,,0,,,
,,,7200-X,company_4,buyer,,,0,,,
,,,9499-E,company_4,buyer,,,0,,,
,,,8603-X,company_4,buyer,,,0,,,
,,,5677-P,company_4,buyer,,,0,,,
,,,5273-N,company_4,buyer,,,0,,,
,,,8958-A,company_4,buyer,,,0,,,
,,,7607-T,company_4,buyer,,,0,,,
,,,7677-Q,company_4,buyer,,,0,,,
,,,4709-L,company_4,buyer,,,0,,,
,,,8609-N,company_4,buyer,,,0,,,
,,,A6036,company_5,buyer,,,0,,,
,,,A4003,company_5,buyer,,,0,,,
,,,A5595,company_5,buyer,,,0,,,
,,,A2049,company_5,buyer,,,0,,,
,,,A6724,company_5,buyer,,,0,,,
,,,A8903,company_5,buyer,,,0,,,
,,,A6897,company_5,buyer,,,0,,,
,,,A3577,company_5,buyer,,,0,,,
,,,A3004,company_5,buyer,,,0,,,
,,,A1926,company_5,buyer,,,0,,,
,,,ISV/XW-GXCJ/W-85,company_6,buyer,,,0,,,
,,,ASH/LJ-GKJP/V-16,company_6,buyer,,,0,,,
,,,KEY/IG-ISAI/R-89,company_6,buyer,,,0,,,
,,,OLW/JR-TKJM/S-52,company_6,buyer,,,0,,,
,,,BZJ/RB-PXCX/B-22,company_6,buyer,,,0,,,
,,,QJP/VX-QGHJ/N-14,company_6,buyer,,,0,,,
,,,VYS/NF-YSGY/S-57,company_6,buyer,,,0,,,
,,,WGR/UF-JRUY/S-80,company_6,buyer,,,0,,,
,,,RZI/IE-SSZI/X-48,company_6,buyer,,,0,,,
,,,HOO/RR-IODG/K-19,company_6,buyer,,,0,,,
,,,KCCCI016133-458,company_7,buyer,,,0,,,
,,,KCCCI078205-322,company_7,buyer,,,0,,,
,,,KCCCI737016-479,company_7,buyer,,,0,,,
,,,KCCCI026649-078,company_7,buyer,,,0,,,
,,,KCCCI509730-082,company_7,buyer,,,0,,,
,,,KCCCI907847-764,company_7,buyer,,,0,,,
,,,KCCCI479359-227,company_7,buyer,,,0,,,
,,,KCCCI601377-533,company_7,buyer,,,0,,,
,,,KCCCI937488-651,company_7,buyer,,,0,,,
,,,KCCCI368105-069,company_7,buyer,,,0,,,
,,,K966,company_8,buyer,,,0,,,
,,,H168,company_8,buyer,,,0,,,
,,,A225,company_8,buyer,,,0,,,
,,,H019,company_8,buyer,,,0,,,
,,,F246,company_8,buyer,,,0,,,
,,,P606,company_8,buyer,,,0,,,
,,,O261,company_8,buyer,,,0,,,
,,,O156,company_8,buyer,,,0,,,
,,,I715,company_8,buyer,,,0,,,
,,,W350,company_8,buyer,,,0,,,
,,,OQA7909,company_9,buyer,,,0,,,
,,,LEO8865,company_9,buyer,,,0,,,
,,,TXH8940,company_9,buyer,,,0,,,
,,,OXW0245,company_9,buyer,,,0,,,
,,,CGP6618,company_9,buyer,,,0,,,
,,,NAQ9618,company_9,buyer,,,0,,,
,,,MEB2128,company_9,buyer,,,0,,,
,,,VOR1230,company_9,buyer,,,0,,,
,,,CCW3371,company_9,buyer,,,0,,,
,,,ENI1954,company_9,buyer,,,0,,,
,,,BLXB5534,company_10,buyer,,,0,,,
,,,H3108,company_10,buyer,,,0,,,
,,,GIV0571,company_10,buyer,,,0,,,
,,,B6198,company_10,buyer,,,0,,,
,,,RWG4279,company_10,buyer,,,0,,,
,,,GZO-1037,company_10,buyer,,,0,,,
,,,VXEGP3397,company_10,buyer,,,0,,,
,,,RB3665,company_10,buyer,,,0,,,
,,,DS4890,company_10,buyer,,,0,,,
,,,B4010,company_10,buyer,,,0,,,
,,,CMNJZ3142MQJ,company_11,buyer,,,0,,,
,,,RLG0291KDKB,company_11,buyer,,,0,,,
,,,BVT8519UNMJSB,company_11,buyer,,,0,,,
,,,SDGR7127WISSL,company_11,buyer,,,0,,,
,,,LFWUWE4646MDN,company_11,buyer,,,0,,,
,,,YCJKX6579US,company_11,buyer,,,0,,,
,,,C3465UBOCZ,company_11,buyer,,,0,,,
,,,FVDJC0512F,company_11,buyer,,,0,,,
,,,HSVRP7596AIKBPB,company_11,buyer,,,0,,,
,,,QGM4730ML,company_11,buyer,,,0,,,
